2026-01-28 03:53:00,737 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/men/sport/view-all.html
2026-01-28 03:53:00,892 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/men/sport/view-all.html is 403
2026-01-28 03:53:00,892 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:53:00,892 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:53:00,892 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:53:01,596 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:53:01,596 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:53:01,604 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:53:01,604 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/beauty/shop-by-product/nails/view-all.html
2026-01-28 03:53:01,709 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/beauty/shop-by-product/nails/view-all.html is 403
2026-01-28 03:53:01,710 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:53:01,710 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:53:01,710 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:53:02,217 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:53:02,217 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:53:02,217 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:53:02,217 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/men/shoes/view-all.html
2026-01-28 03:53:02,753 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/men/shoes/view-all.html is 200
2026-01-28 04:05:32,345 | INFO | handm_scraper | fetched data successfully from mongoDB
2026-01-28 04:05:32,363 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/view-all.html
2026-01-28 04:05:35,078 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/view-all.html is 200
2026-01-28 04:06:40,508 | INFO | handm_scraper | fetched data successfully from mongoDB
2026-01-28 04:06:40,517 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/view-all.html
2026-01-28 04:06:41,243 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/view-all.html is 403
2026-01-28 04:06:41,245 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 04:06:41,245 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 04:06:41,245 | ERROR | handm_scraper | api params sending failed
2026-01-28 04:06:41,245 | WARNING | handm_scraper | Skipping https://www2.hm.com/en_in/home/shop-by-product/view-all.html - IDs not found
2026-01-28 04:06:41,245 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html
2026-01-28 04:06:42,152 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html is 200
2026-01-28 04:06:42,770 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 200
2026-01-28 04:06:42,771 | INFO | handm_scraper |  Fetching product urls from Page no: 1 
2026-01-28 04:06:42,772 | INFO | handm_scraper |  Fetched 36 urls from page no 1
2026-01-28 04:06:45,961 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 2 = 200
2026-01-28 04:06:45,962 | INFO | handm_scraper |  Fetching product urls from Page no: 2 
2026-01-28 04:06:45,963 | INFO | handm_scraper |  Fetched 36 urls from page no 2
2026-01-28 04:06:49,219 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 3 = 200
2026-01-28 04:06:49,220 | INFO | handm_scraper |  Fetching product urls from Page no: 3 
2026-01-28 04:06:49,220 | INFO | handm_scraper |  Fetched 36 urls from page no 3
2026-01-28 04:06:52,497 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 4 = 200
2026-01-28 04:06:52,498 | INFO | handm_scraper |  Fetching product urls from Page no: 4 
2026-01-28 04:06:52,498 | INFO | handm_scraper |  Fetched 36 urls from page no 4
2026-01-28 04:06:55,785 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 5 = 200
2026-01-28 04:06:55,787 | INFO | handm_scraper |  Fetching product urls from Page no: 5 
2026-01-28 04:06:55,787 | INFO | handm_scraper |  Fetched 36 urls from page no 5
2026-01-28 04:06:58,965 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 6 = 200
2026-01-28 04:06:58,966 | INFO | handm_scraper |  Fetching product urls from Page no: 6 
2026-01-28 04:06:58,967 | INFO | handm_scraper |  Fetched 36 urls from page no 6
2026-01-28 04:07:02,224 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 7 = 200
2026-01-28 04:07:02,225 | INFO | handm_scraper |  Fetching product urls from Page no: 7 
2026-01-28 04:07:02,225 | INFO | handm_scraper |  Fetched 36 urls from page no 7
2026-01-28 04:07:05,417 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 8 = 200
2026-01-28 04:07:05,418 | INFO | handm_scraper |  Fetching product urls from Page no: 8 
2026-01-28 04:07:05,419 | INFO | handm_scraper |  Fetched 36 urls from page no 8
2026-01-28 04:07:08,632 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 9 = 200
2026-01-28 04:07:08,633 | INFO | handm_scraper |  Fetching product urls from Page no: 9 
2026-01-28 04:07:08,633 | INFO | handm_scraper |  Fetched 36 urls from page no 9
2026-01-28 04:07:11,870 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 10 = 200
2026-01-28 04:07:11,871 | INFO | handm_scraper |  Fetching product urls from Page no: 10 
